richiedente,cellulare,materia,data_prenotazione,data_ripetizione,ora_ripetizione,tutor_scelto
Mattia Sbattella,4567890567,matematica,2026-01-16 13:49:36,19/01/2026,16:00,Mario Rossi
Mattia Sbattella,1234567890,matematica,2026-01-16 16:36:07,17/01/2026,10:00,Marco Ferrari
Mattia Sbattella,1234567890,italiano,2026-01-16 16:36:07,17/01/2026,10:00,Marco Ferrari
Mattia Sbattella,1234567890,chimica,2026-01-16 16:36:07,17/01/2026,10:00,Marco Ferrari
Mattia Sbattella,1234567890,fisica,2026-01-16 16:36:07,17/01/2026,10:00,Marco Ferrari
Mattia Sbattella,1234567890,matematica,2026-01-16 17:25:00,19/01/2026,16:00,Mario Rossi
Mattia Sbattella,1234567890,fisica,2026-01-16 17:33:53,17/01/2026,10:00,Mario Rossi
Mattia Sbattella,1234567890,matematica,2026-01-16 18:13:44,19/01/2026,15:00,Laura Bianchi
Mattia Sbattella,1234567890,chimica,2026-01-19 14:50:25,23/01/2026,15:00,Anna Neri
Mattia Sbattella,1234567890,matematica,2026-01-19 15:03:09,24/01/2026,15:00,Marco Ferrari
