nome,cognome,materia,costo_ora,disponibilita_giorno,disponibilita_ora
Mario,Rossi,matematica,15,lunedi,14:00-18:00
Mario,Rossi,matematica,15,mercoledi,14:00-18:00
Laura,Bianchi,matematica,20,lunedi,15:00-19:00
Laura,Bianchi,matematica,20,martedi,15:00-19:00
Giuseppe,Verdi,italiano,18,martedi,16:00-20:00
Giuseppe,Verdi,italiano,18,giovedi,16:00-20:00
Anna,Neri,chimica,22,mercoledi,14:00-17:00
Anna,Neri,chimica,22,venerdi,14:00-17:00
Paolo,Bianchi,italiano,17,lunedi,15:00-18:00
Francesca,Russo,chimica,25,martedi,16:00-20:00
Marco,Ferrari,matematica,18,giovedi,15:00-19:00
